Check;Qty;Value;Device;Package;Parts;Description
;1;MCP73833T-AMI/MF;MCP73833DFN;DFN10_3X3MM;U1;Lithium-Polymer/Lithium-Ion Battery Charger [Part No.]
;4;MOUNTINGHOLE2.0;MOUNTINGHOLE2.0;MOUNTINGHOLE_2.0_PLATED;U$11, U$16, U$18, U$19;Mounting Hole
x;1;150K;R-US_R0805;R0805;RT2;RESISTOR, American symbol
x;1;1K;R-US_R0805;R0805;RT1;RESISTOR, American symbol
x;1;10K/THERM;R-US_FLIPFLOP;0805-THM;R7;RESISTOR, American symbol
x;1;PROG;RESISTOR_DUAL;0805-THM;R4;Flip Flop resistor
x;3;150;RESISTOR0805;805;R1, R2, R3;Resistors
UK;1;Power-RED;LED0805;CHIPLED_0805;LED3;LED
UK;1;STAT2-GREEN;LED0805;CHIPLED_0805;LED2;LED
UK;1;STAT1-ORANGE;LED0805;CHIPLED_0805;LED1;LED
;1;STAT;HEADER-1X2;1X02_OVAL;JP6;PIN HEADER
;1;BATT_IN_0.1;HEADER-1X2;1X02_OVAL;JP5;PIN HEADER
;1;LOAD_0.1;HEADER-1X2;1X02_OVAL;JP3;PIN HEADER
;2;FIDUCIAL1.5X3;FIDUCIAL1X2.5;FIDUCIAL-1X2.5;JP2, JP4;Fiducial Alignment Points
;1;PWR_IN_0.1;HEADER-1X2;1X02_OVAL;JP1;PIN HEADER
;1;LOAD_JST;JST_2PIN;JSTPH2;CN3;JST 2-Pin Right-Angle Connector
;1;BATT_IN_JST;JST_2PIN;JSTPH2;CN2;JST 2-Pin Right-Angle Connector
;1;USB;USBMINIBLARGE;USB-MINIB_LARGER;CN1;USB Connectors
;2;10uF;CAP_CERAMIC0805;805;C1, C2;Ceramic Capacitors
